Block,Group,Item,Condition,Sentence,Question,QAnswer,FontColour,FontColourCode,Word,StroopButton ,TrialType
1,1,1,A,The thoughtless secretaries called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,2,1,B,The thoughtless secretaries who were called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Brown,a,Stroop_Sentence
1,3,1,C,The thoughtless secretaries called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Stroop_Sentence
1,4,1,D,The thoughtless secretaries who were called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,2,2,A,The teenage girls begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Stroop_Sentence
1,3,2,B,The teenage girls who were begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Blue,"rgb(0, 0, 255)",Red,a,Stroop_Sentence
1,4,2,C,The teenage girls begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Green,"rgb(34, 139, 34)",Brown,s,Stroop_Sentence
1,1,2,D,The teenage girls who were begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,3,3,A,The computer programmers guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,4,3,B,The computer programmers who were guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Orange,s,Stroop_Sentence
1,1,3,C,The computer programmers guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Red,s,Stroop_Sentence
1,2,3,D,The computer programmers who were guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Stroop_Sentence
1,4,4,A,The postgrad students cheated during their exams left to go home.,Did the postgrads get cheated during their exams?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,1,4,B,The postgrad students who were cheated during their exams left to go home.,Did someone cheat the postgrads during the exams?,Yes,Yellow,"rgb(255, 245, 0)",Brown,d,Stroop_Sentence
1,2,4,C,The postgrad students cheated during their exams left to go home.,Did someone cheat the postgrads during the exams?,Yes,Yellow,"rgb(255, 245, 0)",Orange,d,Stroop_Sentence
1,3,4,D,The postgrad students who were cheated during their exams left to go home.,Did someone cheat the postgrads during the exams?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,1,5,A,The rude tourists heard on their balcony were asked to leave.,Did someone ask the rude tourists to leave?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Stroop_Sentence
1,2,5,B,The rude tourists who were heard on their balcony were asked to leave.,Did someone ask the rude tourists to leave?,Yes,Yellow,"rgb(255, 245, 0)",Red ,d,Stroop_Sentence
1,3,5,C,The rude tourists heard on their balcony were asked to leave.,Did someone ask the rude tourists to leave?,Yes,Blue,"rgb(0, 0, 255)",Brown,a,Stroop_Sentence
1,4,5,D,The rude tourists who were heard on their balcony were asked to leave.,Did someone ask the rude tourists to leave?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,2,6,A,The alert soldiers unloaded from their helicopter found their target quickly.,Was the target found by the soldiers in good time?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,3,6,B,The alert soldiers who were unloaded from their helicopter found their target quickly.,Was the target found by the soldiers in good time?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Stroop_Sentence
1,4,6,C,The alert soldiers unloaded from their helicopter found their target quickly.,Was the target found by the soldiers in good time?,Yes,Blue,"rgb(0, 0, 255)",Red,a,Stroop_Sentence
1,1,37,F,The new student was noticed by everyone when he came into the room.,Did the new student come into the room?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Sentence_Stroop
1,1,38,F,The prisoners were unable to cross the field without being seen.,Did the prisoners cross the field without being seen?,Yes,Yellow,"rgb(255, 245, 0)",Brown,d,Sentence_Stroop
1,1,39,F,The former drug addict's memoirs were met with critical acclaim.,Were the former drug addict's memoires met with acclaim?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,1,40,F,The girls on the basketball team practiced and trained all summer.,Did the girls on the basketball team practice and all summer?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Sentence_Stroop
1,1,41,F,The power plant deserved more attention from the candidates during the election.,Was the power plant left neglected during the election?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Sentence_Stroop
1,2,38,F,The prisoners were unable to cross the field without being seen.,Did the prisoners cross the field without being seen?,Yes,Yellow,"rgb(255, 245, 0)",Brown,d,Sentence_Stroop
1,2,39,F,The former drug addict's memoirs were met with critical acclaim.,Were the former drug addict's memoires met with acclaim?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,2,40,F,The girls on the basketball team practiced and trained all summer.,Did the girls on the basketball team practice and all summer?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Sentence_Stroop
1,2,41,F,The power plant deserved more attention from the candidates during the election.,Was the power plant left neglected during the election?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Sentence_Stroop
1,2,42,F,The library was open to all members of the community since it was supported by taxes.,Was the library funded by taxes? ,Yes,Green,"rgb(34, 139, 34)",Red,s,Sentence_Stroop
1,2,43,F,The guest speaker nervously coughed before addressing the small audience.,Was the small audience addressed by the guest speaker?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,3,38,F,The prisoners were unable to cross the field without being seen.,Did the prisoners cross the field without being seen?,Yes,Yellow,"rgb(255, 245, 0)",Brown,d,Sentence_Stroop
1,3,39,F,The former drug addict's memoirs were met with critical acclaim.,Were the former drug addict's memoires met with acclaim?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,3,40,F,The girls on the basketball team practiced and trained all summer.,Did the girls on the basketball team practice and all summer?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Sentence_Stroop
1,3,41,F,The power plant deserved more attention from the candidates during the election.,Was the power plant left neglected during the election?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Sentence_Stroop
1,3,42,F,The library was open to all members of the community since it was supported by taxes.,Was the library funded by taxes? ,Yes,Green,"rgb(34, 139, 34)",Red,s,Sentence_Stroop
1,3,43,F,The guest speaker nervously coughed before addressing the small audience.,Was the small audience addressed by the guest speaker?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,4,38,F,The prisoners were unable to cross the field without being seen.,Did the prisoners cross the field without being seen?,Yes,Yellow,"rgb(255, 245, 0)",Brown,d,Sentence_Stroop
1,4,39,F,The former drug addict's memoirs were met with critical acclaim.,Were the former drug addict's memoires met with acclaim?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop
1,4,40,F,The girls on the basketball team practiced and trained all summer.,Did the girls on the basketball team practice and all summer?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Sentence_Stroop
1,4,41,F,The power plant deserved more attention from the candidates during the election.,Was the power plant left neglected during the election?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Sentence_Stroop
1,4,42,F,The library was open to all members of the community since it was supported by taxes.,Was the library funded by taxes? ,Yes,Green,"rgb(34, 139, 34)",Red,s,Sentence_Stroop
1,4,43,F,The guest speaker nervously coughed before addressing the small audience.,Was the small audience addressed by the guest speaker?,Yes,Green,"rgb(34, 139, 34)",Green,s,Sentence_Stroop